data_assinatura;inicio_vigencia;fim_vigencia;orgao_superior;orgao_entidade;unidade_gestora;forma_contratacao;grupo_objeto;numero_contrato;situacao;objeto;valor_contratado_rs
"30/12/2021";"30/12/2021";"30/06/2024";"Ministério da Previdência Social";"Instituto Nacional do Seguro Social";"COORDENACAO DE EXEC.ORCAMENTARIA E FINANCEIRA";"Inexigibilidade de Licitação";"Serviços";"00041/2021";"Não se aplica";"A CONTRATAÇÃO DE SERVIÇOS DE PÓS GRADUAÇÃO STRICTO SENSU - MESTRADO PROFISSIONAL EM ADMINISTRAÇÃO PÚBLICA PROMOVIDO PELA FUNDAÇÃO GETÚLIO VARGAS - FGV, PARA 40";"2.789.640,00"
"23/12/2021";"23/12/2021";"22/12/2024";"Ministério da Fazenda";"Ministério da Fazenda - Unidades com vínculo direto";"SUBSECR. DE ADMIN. TRANSF. DIGITAL E INOVACAO";"Inexigibilidade de Licitação";"Serviços";"00007/2021";"Não se aplica";"CONTRATAÇÃO DE SERVIÇOS DE EDUCACIONAIS DE CAPACITAÇÃO E DESENVOLVIMENTO DE SERVIDORES, EM CURSO DE PÓS-GRADUAÇÃO STRICTO SENSU, DENOMINADO DOUTORADO PROFISSIO";"140.119,00"
"22/12/2021";"23/12/2021";"19/07/2024";"Ministério da Gestão e da Inovação em Serviços Públicos";"Ministério da Gestão e da Inovação em Serviços Públicos - Unidades com vínculo direto";"CENTRO DE SERVICOS COMPARTILHADOS - MGI";"Inexigibilidade de Licitação";"Outros";"00059/2021";"Não se aplica";"CONTRATAÇÃO DE SERVIÇOS TÉCNICO PROFISSIONAL ESPECIALIZADO RELATIVO À REALIZAÇÃO DE TREINAMENTO E APERFEIÇOAMENTO DE PESSOAL, DA FUNDAÇÃO GETÚLIO VARGAS - FGV";"1.883.007,00"
"21/12/2021";"21/12/2021";"21/12/2022";"Ministério da Fazenda";"Receita Federal do Brasil";"SUPERINTENDENCIA REGIONAL DA RFB NA 7A RF";"Inexigibilidade de Licitação";"Outros";"00020/2021";"Não se aplica";"CONTRATAÇÃO DO SERVIÇO DE CAPACITAÇÃO: ""PROGRAMA TRIBUTAÇÃO SETORIAL E PLANEJAMENTO TRIBUTÁRIO"", FORMADO POR DOIS CURSOS, DENOMINADOS ""MINERAÇÃO"" E ""SETOR ELÉTR";"148.000,00"
"13/12/2021";"13/12/2021";"12/12/2022";"Ministério do Planejamento e Orçamento";"Fundação Instituto Brasileiro de Geografia e Estatística";"FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ";"Dispensa de Licitação";"Outros";"00025/2021";"Não se aplica";"PROCESSOS SELETIVOS SIMPLIFICADOS - PSS, PARA A CONTRATAÇÃO TEMPORÁRIA DAS FUNÇÕES DE AGENTE CENSITÁRIO MUNICIPAL, AGENTE CENSITÁRIO SUPERVISOR E RECENSEADOR, Q";"50.572.813,00"
"10/12/2021";"10/12/2021";"31/01/2025";"Advocacia-Geral da União";"Advocacia-Geral da União - Unidades com vínculo direto";"DIRETORIA DE GESTAO DE PESSOAS";"Inexigibilidade de Licitação";"Serviços";"00052/2021";"Não se aplica";"CONTRATAÇÃO DE INSTITUIÇÃO DE ENSINO PARA PROMOVER CAPACITAÇÃO NO CURSO DE MESTRADO PROFISSIONAL EM ADMINISTRAÇÃO PÚBLICA CONFORME CONDIÇÕES, QUANTIDADES E EXIG";"9.335.250,00"
"06/12/2021";"30/12/2021";"29/12/2026";"Ministério das Comunicações";"Agêncial Nacional de Telecomunicações";"AGENCIA NACIONAL DE TELECOMUNICACOES-SEDE";"Inexigibilidade de Licitação";"Serviços";"00118/2021";"Não se aplica";"CONTRATAÇÃO DE LICENÇA DE USO (ASSINATURA), SEM CARÁTER DE EXCLUSIVIDADE, DO BANCO DE DADOS FGVDADOS, DE NATUREZA ESTATÍSTICA, ECONÔMICA E FINANCEIRA, NA QUANTI";"12.211,44"
"29/11/2021";"16/12/2021";"10/02/2022";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social";"Banco Central do Brasil - Orçamento Fiscal e Seguridade Social - Unidades com vínculo direto";"BANCO CENTRAL DO BRASIL";"Sem Informação";"Outros";"50618/2021";"Fechado";"Inscrição de servidores do DEORF no curso Direito Societário: Sociedade Ltda";"8.694,00"
"18/11/2021";"18/11/2021";"18/11/2023";"Controladoria-Geral da União";"Controladoria-Geral da União - Unidades com vínculo direto";"COORD-GERAL DE LICITACAO,CONTR.E DOCUMENTACAO";"Dispensa de Licitação";"Serviços";"00025/2021";"Não se aplica";"CONTRATAÇÃO DIRETA DE SERVIÇO DE INSTITUIÇÃO ESPECIALIZADA PARA ORGANIZAR E REALIZAR CONCURSO PÚBLICO PARA O PROVIMENTO DE 375 (TREZENTOS E SETENTA E CINCO) CAR";"4.192.500,00"
"17/11/2021";"19/11/2021";"18/10/2024";"Ministério da Fazenda";"Receita Federal do Brasil";"SUPERINTENDENCIA REGIONAL DA RFB NA 8A RF";"Inexigibilidade de Licitação";"Serviços";"00006/2021";"Não se aplica";"CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS EDUCACIONAIS DE CURSO DE PÓS-GRADUAÇÃO STRICTO SENSU DE MESTRADO PROFISSIONAL EM ADMINISTRAÇÃO PÚBLICA.";"2.420.250,00"
