OBJECTID_1;Nome da Base;Município;UF;Razão Social;Latitude;Longitude;Capacidade (t);x;y
204;SUPERGASBRAS - BASE - DUQUE DE CAXIAS/RJ;DUQUE DE CAXIAS;RJ;SUPERGASBRAS ENERGIA LTDA;-22.70992177;-43.27990851;1318.46;-43.279908509999984;-22.709921769999937
205;COPAGAZ - BASE - DUQUE DE CAXIAS/RJ;DUQUE DE CAXIAS;RJ;COPAGAZ DISTRIBUIDORA DE GÁS S/A.;-22.71004667;-43.27342;357.55;-43.27341999999993;-22.71004666999994
206;NACIONAL GAS BUTANO - BASE -  APUCARANA - PR;APUCARANA;PR;NACIONAL GAS BUTANO DISTRIBUIDORA LTDA;-23.52205;-51.44059833;118;-51.44059832999994;-23.52204999999998
207;ULTRAGAZ - BASE - LONDRINA/PR;LONDRINA;PR;COMPANHIA ULTRAGAZ S A;-23.27813667;-51.22063667;117;-51.220636669999976;-23.27813666999998
208;LIQUIGÁS - BASE - BELÉM/PARA;BELEM;PA;LIQUIGÁS DISTRIBUIDORA S.A.;-1.40647833;-48.48566333;1067.93;-48.485663329999966;-1.4064783299999704
209;ULTRAGAZ - BASE - CASCAVEL/PR;CASCAVEL;PR;COMPANHIA ULTRAGAZ S A;-24.92997833;-53.39384333;117.1;-53.39384332999998;-24.929978329999983
210;MINASGÁS- BASE- IPOJUCA/PE;IPOJUCA;PE;MINASGAS S/A INDUSTRIA E COMERCIO;-8.3956511;-34.97696019;416.53;-34.97696018999994;-8.395651099999952
211;BAHIANA - BASE - IPOJUCA/PE;IPOJUCA;PE;BAHIANA DISTRIBUIDORA DE GÁS LTDA;-8.39547027;-34.97586991;500;-34.97586990999997;-8.395470269999976
212;GAS PONTO COM - BASE - BALSA NOVA/PR;BALSA NOVA;PR;GÁS PONTO COM DISTRIBUIDORA DE GÁS S.A.;-25.57407833;-49.613695;60;-49.61369499999995;-25.574078329999963
213;LIQUIGÁS - BASE - BETIM/MG;BETIM;MG;LIQUIGÁS DISTRIBUIDORA S.A.;-19.9524271;-44.10095787;700.35;-44.100957869999945;-19.952427099999966
214;LIQUIGÁS - BASE - SÃO LUIS/MA;SAO LUIS;MA;LIQUIGÁS DISTRIBUIDORA S.A.;-2.55847258;-44.34235648;1220.24;-44.34235647999998;-2.5584725799999433
215;SUPERGASBRAS- BASE- SERRA/ES;SERRA;ES;SUPERGASBRAS ENERGIA LTDA;-20.19453313;-40.23945933;452.69;-40.23945932999993;-20.194533129999968
216;BAHIANA - BASE - JUAZEIRO/BA;JUAZEIRO;BA;BAHIANA DISTRIBUIDORA DE GÁS LTDA;-9.46567833;-40.49161333;175.2;-40.49161332999995;-9.465678329999946
217;BAHIANA - BASE - CAUCAIA/CE;CAUCAIA;CE;BAHIANA DISTRIBUIDORA DE GÁS LTDA;-3.74370167;-38.62351333;402.5;-38.62351332999998;-3.7437016699999504
218;ULTRAGAZ - BASE - SÃO JOSÉ DOS CAMPOS/SP II;SAO JOSE DOS CAMPOS;SP;COMPANHIA ULTRAGAZ S A;-23.18357505;-45.80995139;600.53;-45.80995138999998;-23.183575049999945
219;CONSIGAZ - BASE - SÃO VICENTE/SP;SAO VICENTE;SP;CONSIGAZ DISTRIBUIDORA DE GÁS LTDA.;-23.95099167;-46.41157167;48;-46.411571669999944;-23.95099166999995
220;CONSIGAZ - BASE - PAULINIA/SP;PAULINIA;SP;CONSIGAZ DISTRIBUIDORA DE GÁS LTDA.;-22.71875;-47.13900333;360;-47.13900332999998;-22.718749999999943
221;SUPERGASBRAS- BASE- RIBEIRÃO PRETO/SP;RIBEIRAO PRETO;SP;SUPERGASBRAS ENERGIA LTDA;-21.14492167;-47.87762833;274.88;-47.877628329999936;-21.144921669999974
